"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",50284.172793,
"AUT","GDP","TOT","USD_CAP","A","2016",52614.377745,
"BEL","GDP","TOT","USD_CAP","A","2016",48610.767252,
"CAN","GDP","TOT","USD_CAP","A","2016",46480.50132,
"CZE","GDP","TOT","USD_CAP","A","2016",35880.287434,
"DNK","GDP","TOT","USD_CAP","A","2016",51961.77129,
"FIN","GDP","TOT","USD_CAP","A","2016",44929.949421,
"FRA","GDP","TOT","USD_CAP","A","2016",42853.539363,
"DEU","GDP","TOT","USD_CAP","A","2016",50564.049275,
"GRC","GDP","TOT","USD_CAP","A","2016",27823.314892,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",27699.630853,
"ISL","GDP","TOT","USD_CAP","A","2016",53031.605301,
"IRL","GDP","TOT","USD_CAP","A","2016",72017.755243,
"ITA","GDP","TOT","USD_CAP","A","2016",39922.933208,
"JPN","GDP","TOT","USD_CAP","A","2016",39990.049446,
"KOR","GDP","TOT","USD_CAP","A","2016",39566.864428,
"LUX","GDP","TOT","USD_CAP","A","2016",110249.797049,
"MEX","GDP","TOT","USD_CAP","A","2016",19506.640994,
"NLD","GDP","TOT","USD_CAP","A","2016",52284.122623,
"NZL","GDP","TOT","USD_CAP","A","2016",39906.374216,
"NOR","GDP","TOT","USD_CAP","A","2016",58917.28833,
"POL","GDP","TOT","USD_CAP","A","2016",27947.390312,
"PRT","GDP","TOT","USD_CAP","A","2016",31604.417531,
"SVK","GDP","TOT","USD_CAP","A","2016",29651.493438,
"ESP","GDP","TOT","USD_CAP","A","2016",37309.865924,
"SWE","GDP","TOT","USD_CAP","A","2016",50433.852154,
"CHE","GDP","TOT","USD_CAP","A","2016",65720.161893,
"TUR","GDP","TOT","USD_CAP","A","2016",26509.937205,
"GBR","GDP","TOT","USD_CAP","A","2016",44138.043208,
"USA","GDP","TOT","USD_CAP","A","2016",57884.491072,
"CHL","GDP","TOT","USD_CAP","A","2016",22624.825752,
"EST","GDP","TOT","USD_CAP","A","2016",31228.858877,
"ISR","GDP","TOT","USD_CAP","A","2016",37855.603781,
"SVN","GDP","TOT","USD_CAP","A","2016",33875.006579,
"OECD","GDP","TOT","USD_CAP","A","2016",42862.297963,"P"
"LVA","GDP","TOT","USD_CAP","A","2016",26407.216397,
"LTU","GDP","TOT","USD_CAP","A","2016",30924.899739,
